title,season,number_in_season,number_in_series,original_air_date,imdb_rating,imdb_votes,us_viewers_in_millions,air_year,air_month,weekday_num,weekday,season_episode,rating_group
Simpsons Roasting on an Open Fire,1,1,1,1989-12-17,8.2,3734.0,26.7,1989,12,6,Sunday,S01E01,8.0 - 8.9
Bart the Genius,1,2,2,1990-01-14,7.8,1973.0,24.5,1990,1,6,Sunday,S01E02,7.0 - 7.9
Homer's Odyssey,1,3,3,1990-01-21,7.5,1709.0,27.5,1990,1,6,Sunday,S01E03,7.0 - 7.9
There's No Disgrace Like Home,1,4,4,1990-01-28,7.8,1701.0,20.2,1990,1,6,Sunday,S01E04,7.0 - 7.9
Bart the General,1,5,5,1990-02-04,8.1,1732.0,27.1,1990,2,6,Sunday,S01E05,8.0 - 8.9
Moaning Lisa,1,6,6,1990-02-11,7.6,1674.0,27.4,1990,2,6,Sunday,S01E06,7.0 - 7.9
The Call of the Simpsons,1,7,7,1990-02-18,7.9,1638.0,27.6,1990,2,6,Sunday,S01E07,7.0 - 7.9
The Telltale Head,1,8,8,1990-02-25,7.7,1580.0,28.0,1990,2,6,Sunday,S01E08,7.0 - 7.9
Life on the Fast Lane,1,9,9,1990-03-18,7.5,1578.0,33.5,1990,3,6,Sunday,S01E09,7.0 - 7.9
Homer's Night Out,1,10,10,1990-03-25,7.4,1511.0,30.3,1990,3,6,Sunday,S01E10,7.0 - 7.9
The Crepes of Wrath,1,11,11,1990-04-15,7.8,1539.0,31.2,1990,4,6,Sunday,S01E11,7.0 - 7.9
Krusty Gets Busted,1,12,12,1990-04-29,8.3,1716.0,30.4,1990,4,6,Sunday,S01E12,8.0 - 8.9
Some Enchanted Evening,1,13,13,1990-05-13,7.9,1567.0,27.1,1990,5,6,Sunday,S01E13,7.0 - 7.9
"Bart Gets an ""F""",2,1,14,1990-10-11,8.2,1638.0,33.6,1990,10,3,Thursday,S02E01,8.0 - 8.9
Simpson and Delilah,2,2,15,1990-10-18,8.3,1588.0,29.9,1990,10,3,Thursday,S02E02,8.0 - 8.9
Treehouse of Horror,2,3,16,1990-10-25,8.2,1786.0,27.4,1990,10,3,Thursday,S02E03,8.0 - 8.9
Two Cars in Every Garage and Three Eyes on Every Fish,2,4,17,1990-11-01,8.1,1457.0,26.1,1990,11,3,Thursday,S02E04,8.0 - 8.9
Dancin' Homer,2,5,18,1990-11-08,7.5,1381.0,26.1,1990,11,3,Thursday,S02E05,7.0 - 7.9
Dead Putting Society,2,6,19,1990-11-15,8.0,1366.0,25.4,1990,11,3,Thursday,S02E06,8.0 - 8.9
Bart vs. Thanksgiving,2,7,20,1990-11-22,7.7,1324.0,25.9,1990,11,3,Thursday,S02E07,7.0 - 7.9
Bart the Daredevil,2,8,21,1990-12-06,8.4,1522.0,26.2,1990,12,3,Thursday,S02E08,8.0 - 8.9
Itchy & Scratchy & Marge,2,9,22,1990-12-20,8.1,1402.0,22.2,1990,12,3,Thursday,S02E09,8.0 - 8.9
Bart Gets Hit by a Car,2,10,23,1991-01-10,7.8,1340.0,24.8,1991,1,3,Thursday,S02E10,7.0 - 7.9
"One Fish, Two Fish, Blowfish, Blue Fish",2,11,24,1991-01-24,8.8,1687.0,24.2,1991,1,3,Thursday,S02E11,8.0 - 8.9
The Way We Was,2,12,25,1991-01-31,8.2,1392.0,26.8,1991,1,3,Thursday,S02E12,8.0 - 8.9
Homer vs. Lisa and the 8th Commandment,2,13,26,1991-02-07,8.0,1329.0,26.2,1991,2,3,Thursday,S02E13,8.0 - 8.9
Principal Charming,2,14,27,1991-02-14,7.5,1241.0,23.9,1991,2,3,Thursday,S02E14,7.0 - 7.9
"Oh Brother, Where Art Thou?",2,15,28,1991-02-21,8.2,1413.0,26.8,1991,2,3,Thursday,S02E15,8.0 - 8.9
"Bart's Dog Gets an ""F""",2,16,29,1991-03-07,7.5,1264.0,23.9,1991,3,3,Thursday,S02E16,7.0 - 7.9
Old Money,2,17,30,1991-03-28,7.6,1243.0,21.2,1991,3,3,Thursday,S02E17,7.0 - 7.9
Brush with Greatness,2,18,31,1991-04-11,8.0,1257.0,20.6,1991,4,3,Thursday,S02E18,8.0 - 8.9
Lisa's Substitute,2,19,32,1991-04-25,8.5,1684.0,17.7,1991,4,3,Thursday,S02E19,8.0 - 8.9
The War of the Simpsons,2,20,33,1991-05-02,7.9,1246.0,19.7,1991,5,3,Thursday,S02E20,7.0 - 7.9
Three Men and a Comic Book,2,21,34,1991-05-09,8.4,1379.0,21.0,1991,5,3,Thursday,S02E21,8.0 - 8.9
Blood Feud,2,22,35,1991-07-11,8.0,1223.0,17.3,1991,7,3,Thursday,S02E22,8.0 - 8.9
Stark Raving Dad,3,1,36,1991-09-19,8.6,1798.0,22.9,1991,9,3,Thursday,S03E01,8.0 - 8.9
Mr. Lisa Goes to Washington,3,2,37,1991-09-26,7.7,1274.0,20.2,1991,9,3,Thursday,S03E02,7.0 - 7.9
When Flanders Failed,3,3,38,1991-10-03,8.2,1302.0,22.8,1991,10,3,Thursday,S03E03,8.0 - 8.9
Bart the Murderer,3,4,39,1991-10-10,8.7,1446.0,20.8,1991,10,3,Thursday,S03E04,8.0 - 8.9
Homer Defined,3,5,40,1991-10-17,8.5,1452.0,20.6,1991,10,3,Thursday,S03E05,8.0 - 8.9
"Like Father, Like Clown",3,6,41,1991-10-24,7.7,1262.0,20.2,1991,10,3,Thursday,S03E06,7.0 - 7.9
Treehouse of Horror II,3,7,42,1991-10-31,8.2,1369.0,20.0,1991,10,3,Thursday,S03E07,8.0 - 8.9
Lisa's Pony,3,8,43,1991-11-07,7.9,1243.0,23.0,1991,11,3,Thursday,S03E08,7.0 - 7.9
Saturdays of Thunder,3,9,44,1991-11-14,7.9,1194.0,24.7,1991,11,3,Thursday,S03E09,7.0 - 7.9
Flaming Moe's,3,10,45,1991-11-21,8.8,1618.0,23.9,1991,11,3,Thursday,S03E10,8.0 - 8.9
Burns Verkaufen der Kraftwerk,3,11,46,1991-12-05,8.2,1291.0,21.1,1991,12,3,Thursday,S03E11,8.0 - 8.9
I Married Marge,3,12,47,1991-12-26,8.2,1213.0,21.9,1991,12,3,Thursday,S03E12,8.0 - 8.9
Radio Bart,3,13,48,1992-01-09,8.5,1365.0,24.2,1992,1,3,Thursday,S03E13,8.0 - 8.9
Lisa the Greek,3,14,49,1992-01-23,8.0,1179.0,23.2,1992,1,3,Thursday,S03E14,8.0 - 8.9
Homer Alone,3,15,50,1992-02-06,8.0,1176.0,23.7,1992,2,3,Thursday,S03E15,8.0 - 8.9
Bart the Lover,3,16,51,1992-02-13,8.3,1272.0,20.5,1992,2,3,Thursday,S03E16,8.0 - 8.9
Homer at the Bat,3,17,52,1992-02-20,8.6,1637.0,24.6,1992,2,3,Thursday,S03E17,8.0 - 8.9
Separate Vocations,3,18,53,1992-02-27,8.2,1201.0,23.7,1992,2,3,Thursday,S03E18,8.0 - 8.9
Dog of Death,3,19,54,1992-03-12,7.7,1165.0,23.4,1992,3,3,Thursday,S03E19,7.0 - 7.9
Colonel Homer,3,20,55,1992-03-26,7.9,1233.0,25.5,1992,3,3,Thursday,S03E20,7.0 - 7.9
Black Widower,3,21,56,1992-04-09,8.2,1233.0,17.3,1992,4,3,Thursday,S03E21,8.0 - 8.9
The Otto Show,3,22,57,1992-04-23,7.7,1176.0,17.5,1992,4,3,Thursday,S03E22,7.0 - 7.9
Bart's Friend Falls in Love,3,23,58,1992-05-07,7.8,1160.0,19.5,1992,5,3,Thursday,S03E23,7.0 - 7.9
"Brother, Can You Spare Two Dimes?",3,24,59,1992-08-27,8.2,1227.0,17.2,1992,8,3,Thursday,S03E24,8.0 - 8.9
Kamp Krusty,4,1,60,1992-09-24,8.4,1414.0,21.8,1992,9,3,Thursday,S04E01,8.0 - 8.9
A Streetcar Named Marge,4,2,61,1992-10-01,8.1,1339.0,18.3,1992,10,3,Thursday,S04E02,8.0 - 8.9
Homer the Heretic,4,3,62,1992-10-08,9.0,1747.0,19.3,1992,10,3,Thursday,S04E03,9.0 - 10.0
Lisa the Beauty Queen,4,4,63,1992-10-15,7.8,1194.0,19.0,1992,10,3,Thursday,S04E04,7.0 - 7.9
Treehouse of Horror III,4,5,64,1992-10-29,8.4,1394.0,25.1,1992,10,3,Thursday,S04E05,8.0 - 8.9
Itchy & Scratchy: The Movie,4,6,65,1992-11-03,8.2,1293.0,20.1,1992,11,1,Tuesday,S04E06,8.0 - 8.9
Marge Gets a Job,4,7,66,1992-11-05,7.8,1163.0,22.9,1992,11,3,Thursday,S04E07,7.0 - 7.9
New Kid on the Block,4,8,67,1992-11-12,8.2,1240.0,23.1,1992,11,3,Thursday,S04E08,8.0 - 8.9
Mr. Plow,4,9,68,1992-11-19,8.8,1595.0,24.0,1992,11,3,Thursday,S04E09,8.0 - 8.9
Lisa's First Word,4,10,69,1992-12-03,8.5,1350.0,28.6,1992,12,3,Thursday,S04E10,8.0 - 8.9
Homer's Triple Bypass,4,11,70,1992-12-17,8.7,1445.0,23.6,1992,12,3,Thursday,S04E11,8.0 - 8.9
Marge vs. the Monorail,4,12,71,1993-01-14,9.0,2028.0,23.0,1993,1,3,Thursday,S04E12,9.0 - 10.0
Selma's Choice,4,13,72,1993-01-21,8.0,1153.0,24.5,1993,1,3,Thursday,S04E13,8.0 - 8.9
Brother from the Same Planet,4,14,73,1993-02-04,8.1,1176.0,23.8,1993,2,3,Thursday,S04E14,8.0 - 8.9
I Love Lisa,4,15,74,1993-02-11,8.3,1268.0,25.2,1993,2,3,Thursday,S04E15,8.0 - 8.9
Duffless,4,16,75,1993-02-18,8.3,1209.0,25.7,1993,2,3,Thursday,S04E16,8.0 - 8.9
Last Exit to Springfield,4,17,76,1993-03-11,9.0,1827.0,22.4,1993,3,3,Thursday,S04E17,9.0 - 10.0
So It's Come to This: A Simpsons Clip Show,4,18,77,1993-04-01,7.2,1105.0,25.5,1993,4,3,Thursday,S04E18,7.0 - 7.9
The Front,4,19,78,1993-04-15,8.1,1122.0,20.1,1993,4,3,Thursday,S04E19,8.0 - 8.9
Whacking Day,4,20,79,1993-04-29,8.1,1234.0,20.0,1993,4,3,Thursday,S04E20,8.0 - 8.9
Marge in Chains,4,21,80,1993-05-06,7.7,1080.0,17.3,1993,5,3,Thursday,S04E21,7.0 - 7.9
Krusty Gets Kancelled,4,22,81,1993-05-13,8.2,1269.0,19.4,1993,5,3,Thursday,S04E22,8.0 - 8.9
Homer's Barbershop Quartet,5,1,82,1993-09-30,8.4,1416.0,19.9,1993,9,3,Thursday,S05E01,8.0 - 8.9
Cape Feare,5,2,83,1993-10-07,9.0,2010.0,20.0,1993,10,3,Thursday,S05E02,9.0 - 10.0
Homer Goes to College,5,3,84,1993-10-14,8.6,1476.0,18.1,1993,10,3,Thursday,S05E03,8.0 - 8.9
Rosebud,5,4,85,1993-10-21,8.9,1479.0,19.5,1993,10,3,Thursday,S05E04,8.0 - 8.9
Treehouse of Horror IV,5,5,86,1993-10-28,8.7,1437.0,24.0,1993,10,3,Thursday,S05E05,8.0 - 8.9
Marge on the Lam,5,6,87,1993-11-04,8.0,1132.0,21.7,1993,11,3,Thursday,S05E06,8.0 - 8.9
Bart's Inner Child,5,7,88,1993-11-11,7.7,1085.0,18.7,1993,11,3,Thursday,S05E07,7.0 - 7.9
Boy-Scoutz 'n the Hood,5,8,89,1993-11-18,8.7,1270.0,20.1,1993,11,3,Thursday,S05E08,8.0 - 8.9
The Last Temptation of Homer,5,9,90,1993-12-09,8.4,1308.0,20.6,1993,12,3,Thursday,S05E09,8.0 - 8.9
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",5,10,91,1993-12-16,8.5,1274.0,17.9,1993,12,3,Thursday,S05E10,8.0 - 8.9
Homer the Vigilante,5,11,92,1994-01-06,8.2,1202.0,20.1,1994,1,3,Thursday,S05E11,8.0 - 8.9
Bart Gets Famous,5,12,93,1994-02-03,8.1,1123.0,20.0,1994,2,3,Thursday,S05E12,8.0 - 8.9
Homer and Apu,5,13,94,1994-02-10,8.3,1171.0,21.8,1994,2,3,Thursday,S05E13,8.0 - 8.9
Lisa vs. Malibu Stacy,5,14,95,1994-02-17,8.2,1187.0,20.5,1994,2,3,Thursday,S05E14,8.0 - 8.9
Deep Space Homer,5,15,96,1994-02-24,8.8,1505.0,18.2,1994,2,3,Thursday,S05E15,8.0 - 8.9
Homer Loves Flanders,5,16,97,1994-03-17,8.5,1191.0,18.0,1994,3,3,Thursday,S05E16,8.0 - 8.9
Bart Gets an Elephant,5,17,98,1994-03-31,7.9,1116.0,17.0,1994,3,3,Thursday,S05E17,7.0 - 7.9
Burns' Heir,5,18,99,1994-04-14,8.4,1143.0,14.7,1994,4,3,Thursday,S05E18,8.0 - 8.9
Sweet Seymour Skinner's Baadasssss Song,5,19,100,1994-04-28,8.4,1118.0,19.7,1994,4,3,Thursday,S05E19,8.0 - 8.9
The Boy Who Knew Too Much,5,20,101,1994-05-05,8.2,1103.0,15.5,1994,5,3,Thursday,S05E20,8.0 - 8.9
Lady Bouvier's Lover,5,21,102,1994-05-12,7.5,1014.0,15.1,1994,5,3,Thursday,S05E21,7.0 - 7.9
Secrets of a Successful Marriage,5,22,103,1994-05-19,8.0,1060.0,15.6,1994,5,3,Thursday,S05E22,8.0 - 8.9
Bart of Darkness,6,1,104,1994-09-04,8.6,1330.0,15.1,1994,9,6,Sunday,S06E01,8.0 - 8.9
Lisa's Rival,6,2,105,1994-09-11,8.1,1156.0,16.7,1994,9,6,Sunday,S06E02,8.0 - 8.9
Another Simpsons Clip Show,6,3,106,1994-09-25,6.0,1051.0,13.5,1994,9,6,Sunday,S06E03,6.0 - 6.9
Itchy & Scratchy Land,6,4,107,1994-10-02,8.5,1277.0,14.8,1994,10,6,Sunday,S06E04,8.0 - 8.9
Sideshow Bob Roberts,6,5,108,1994-10-09,8.3,1142.0,14.4,1994,10,6,Sunday,S06E05,8.0 - 8.9
Treehouse of Horror V,6,6,109,1994-10-30,9.0,1690.0,22.2,1994,10,6,Sunday,S06E06,9.0 - 10.0
Bart's Girlfriend,6,7,110,1994-11-06,8.0,1150.0,15.3,1994,11,6,Sunday,S06E07,8.0 - 8.9
Lisa on Ice,6,8,111,1994-11-13,8.4,1236.0,17.9,1994,11,6,Sunday,S06E08,8.0 - 8.9
Homer Badman,6,9,112,1994-11-27,9.0,1655.0,17.0,1994,11,6,Sunday,S06E09,9.0 - 10.0
Grampa vs. Sexual Inadequacy,6,10,113,1994-12-04,8.0,1060.0,14.1,1994,12,6,Sunday,S06E10,8.0 - 8.9
Fear of Flying,6,11,114,1994-12-18,7.8,1100.0,15.6,1994,12,6,Sunday,S06E11,7.0 - 7.9
Homer the Great,6,12,115,1995-01-08,8.9,1457.0,20.1,1995,1,6,Sunday,S06E12,8.0 - 8.9
And Maggie Makes Three,6,13,116,1995-01-22,8.5,1284.0,17.3,1995,1,6,Sunday,S06E13,8.0 - 8.9
Bart's Comet,6,14,117,1995-02-05,8.6,1221.0,18.7,1995,2,6,Sunday,S06E14,8.0 - 8.9
Homie the Clown,6,15,118,1995-02-12,8.5,1254.0,17.6,1995,2,6,Sunday,S06E15,8.0 - 8.9
Bart vs. Australia,6,16,119,1995-02-19,8.5,1353.0,15.1,1995,2,6,Sunday,S06E16,8.0 - 8.9
Homer vs. Patty and Selma,6,17,120,1995-02-26,7.9,1006.0,18.9,1995,2,6,Sunday,S06E17,7.0 - 7.9
A Star Is Burns,6,18,121,1995-03-05,8.5,1223.0,14.4,1995,3,6,Sunday,S06E18,8.0 - 8.9
Lisa's Wedding,6,19,122,1995-03-19,8.3,1190.0,14.4,1995,3,6,Sunday,S06E19,8.0 - 8.9
Two Dozen and One Greyhounds,6,20,123,1995-04-09,8.1,1051.0,11.6,1995,4,6,Sunday,S06E20,8.0 - 8.9
The PTA Disbands,6,21,124,1995-04-16,8.1,1004.0,11.8,1995,4,6,Sunday,S06E21,8.0 - 8.9
'Round Springfield,6,22,125,1995-04-30,8.3,1084.0,12.6,1995,4,6,Sunday,S06E22,8.0 - 8.9
The Springfield Connection,6,23,126,1995-05-07,8.2,1003.0,12.7,1995,5,6,Sunday,S06E23,8.0 - 8.9
Lemon of Troy,6,24,127,1995-05-14,8.6,1285.0,13.1,1995,5,6,Sunday,S06E24,8.0 - 8.9
Who Shot Mr. Burns? (Part One),6,25,128,1995-05-21,9.1,1619.0,15.0,1995,5,6,Sunday,S06E25,9.0 - 10.0
Who Shot Mr. Burns? (Part Two),7,1,129,1995-09-17,8.9,1497.0,16.0,1995,9,6,Sunday,S07E01,8.0 - 8.9
Radioactive Man,7,2,130,1995-09-24,8.3,1172.0,15.7,1995,9,6,Sunday,S07E02,8.0 - 8.9
Home Sweet Homediddly-Dum-Doodily,7,3,131,1995-10-01,8.3,1088.0,14.5,1995,10,6,Sunday,S07E03,8.0 - 8.9
Bart Sells His Soul,7,4,132,1995-10-08,8.7,1354.0,14.8,1995,10,6,Sunday,S07E04,8.0 - 8.9
Lisa the Vegetarian,7,5,133,1995-10-15,8.5,1288.0,14.6,1995,10,6,Sunday,S07E05,8.0 - 8.9
Treehouse of Horror VI,7,6,134,1995-10-29,8.5,1304.0,19.7,1995,10,6,Sunday,S07E06,8.0 - 8.9
King-Size Homer,7,7,135,1995-11-05,9.0,1633.0,17.0,1995,11,6,Sunday,S07E07,9.0 - 10.0
Mother Simpson,7,8,136,1995-11-19,8.5,1226.0,15.3,1995,11,6,Sunday,S07E08,8.0 - 8.9
Sideshow Bob's Last Gleaming,7,9,137,1995-11-26,8.0,1023.0,14.2,1995,11,6,Sunday,S07E09,8.0 - 8.9
The Simpsons 138th Episode Spectacular,7,10,138,1995-12-03,7.5,1038.0,16.4,1995,12,6,Sunday,S07E10,7.0 - 7.9
Marge Be Not Proud,7,11,139,1995-12-17,8.3,1146.0,16.7,1995,12,6,Sunday,S07E11,8.0 - 8.9
Team Homer,7,12,140,1996-01-07,8.3,1064.0,16.7,1996,1,6,Sunday,S07E12,8.0 - 8.9
Two Bad Neighbors,7,13,141,1996-01-14,8.7,1264.0,16.5,1996,1,6,Sunday,S07E13,8.0 - 8.9
Scenes from the Class Struggle in Springfield,7,14,142,1996-02-04,7.7,962.0,14.4,1996,2,6,Sunday,S07E14,7.0 - 7.9
Bart the Fink,7,15,143,1996-02-11,7.7,954.0,15.0,1996,2,6,Sunday,S07E15,7.0 - 7.9
Lisa the Iconoclast,7,16,144,1996-02-18,8.1,1039.0,13.4,1996,2,6,Sunday,S07E16,8.0 - 8.9
Homer the Smithers,7,17,145,1996-02-25,8.9,1609.0,14.1,1996,2,6,Sunday,S07E17,8.0 - 8.9
The Day the Violence Died,7,18,146,1996-03-17,8.0,1016.0,14.4,1996,3,6,Sunday,S07E18,8.0 - 8.9
A Fish Called Selma,7,19,147,1996-03-24,8.2,1103.0,12.9,1996,3,6,Sunday,S07E19,8.0 - 8.9
Bart on the Road,7,20,148,1996-03-31,8.6,1110.0,11.8,1996,3,6,Sunday,S07E20,8.0 - 8.9
22 Short Films About Springfield,7,21,149,1996-04-14,8.8,1393.0,10.5,1996,4,6,Sunday,S07E21,8.0 - 8.9
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",7,22,150,1996-04-28,8.3,1122.0,13.0,1996,4,6,Sunday,S07E22,8.0 - 8.9
Much Apu About Nothing,7,23,151,1996-05-05,8.0,995.0,11.3,1996,5,6,Sunday,S07E23,8.0 - 8.9
Homerpalooza,7,24,152,1996-05-19,8.0,1095.0,12.9,1996,5,6,Sunday,S07E24,8.0 - 8.9
Summer of 4 Ft. 2,7,25,153,1996-05-19,8.3,1119.0,14.7,1996,5,6,Sunday,S07E25,8.0 - 8.9
Treehouse of Horror VII,8,1,154,1996-10-27,8.3,1186.0,18.3,1996,10,6,Sunday,S08E01,8.0 - 8.9
You Only Move Twice,8,2,155,1996-11-03,9.2,2439.0,13.9,1996,11,6,Sunday,S08E02,9.0 - 10.0
The Homer They Fall,8,3,156,1996-11-10,8.0,1085.0,17.0,1996,11,6,Sunday,S08E03,8.0 - 8.9
"Burns, Baby Burns",8,4,157,1996-11-17,7.7,1079.0,12.6,1996,11,6,Sunday,S08E04,7.0 - 7.9
Bart After Dark,8,5,158,1996-11-24,8.2,1098.0,14.1,1996,11,6,Sunday,S08E05,8.0 - 8.9
A Milhouse Divided,8,6,159,1996-12-01,8.0,1008.0,12.8,1996,12,6,Sunday,S08E06,8.0 - 8.9
Lisa's Date with Density,8,7,160,1996-12-15,7.8,1005.0,16.75,1996,12,6,Sunday,S08E07,7.0 - 7.9
Hurricane Neddy,8,8,161,1996-12-29,8.8,1268.0,12.45,1996,12,6,Sunday,S08E08,8.0 - 8.9
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),8,9,162,1997-01-05,8.5,1383.0,14.9,1997,1,6,Sunday,S08E09,8.0 - 8.9
The Springfield Files,8,10,163,1997-01-12,9.0,1793.0,20.9,1997,1,6,Sunday,S08E10,9.0 - 10.0
The Twisted World of Marge Simpson,8,11,164,1997-01-19,7.8,998.0,14.0,1997,1,6,Sunday,S08E11,7.0 - 7.9
Mountain of Madness,8,12,165,1997-02-02,8.6,1137.0,9.1,1997,2,6,Sunday,S08E12,8.0 - 8.9
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,8,13,166,1997-02-07,7.7,1088.0,17.7,1997,2,4,Friday,S08E13,7.0 - 7.9
The Itchy & Scratchy & Poochie Show,8,14,167,1997-02-09,7.9,1079.0,15.5,1997,2,6,Sunday,S08E14,7.0 - 7.9
Homer's Phobia,8,15,168,1997-02-16,8.9,1666.0,15.3,1997,2,6,Sunday,S08E15,8.0 - 8.9
Brother from Another Series,8,16,169,1997-02-23,8.2,1100.0,15.1,1997,2,6,Sunday,S08E16,8.0 - 8.9
"My Sister, My Sitter",8,17,170,1997-03-02,8.1,1020.0,15.1,1997,3,6,Sunday,S08E17,8.0 - 8.9
Homer vs. the Eighteenth Amendment,8,18,171,1997-03-16,8.7,1330.0,14.6,1997,3,6,Sunday,S08E18,8.0 - 8.9
Grade School Confidential,8,19,172,1997-04-06,8.2,995.0,13.3,1997,4,6,Sunday,S08E19,8.0 - 8.9
The Canine Mutiny,8,20,173,1997-04-13,7.7,913.0,15.75,1997,4,6,Sunday,S08E20,7.0 - 7.9
The Old Man and the Lisa,8,21,174,1997-04-20,7.9,967.0,14.0,1997,4,6,Sunday,S08E21,7.0 - 7.9
In Marge We Trust,8,22,175,1997-04-27,8.0,973.0,16.9,1997,4,6,Sunday,S08E22,8.0 - 8.9
Homer's Enemy,8,23,176,1997-05-04,9.2,2256.0,11.8,1997,5,6,Sunday,S08E23,9.0 - 10.0
The Simpsons Spin-Off Showcase,8,24,177,1997-05-11,7.3,1006.0,11.6,1997,5,6,Sunday,S08E24,7.0 - 7.9
The Secret War of Lisa Simpson,8,25,178,1997-05-18,7.8,967.0,12.7,1997,5,6,Sunday,S08E25,7.0 - 7.9
The City of New York vs. Homer Simpson,9,1,179,1997-09-21,9.1,1918.0,10.5,1997,9,6,Sunday,S09E01,9.0 - 10.0
The Principal and the Pauper,9,2,180,1997-09-28,7.4,1158.0,14.9,1997,9,6,Sunday,S09E02,7.0 - 7.9
Lisa's Sax,9,3,181,1997-10-19,8.1,980.0,12.9,1997,10,6,Sunday,S09E03,8.0 - 8.9
Treehouse of Horror VIII,9,4,182,1997-10-26,8.1,1019.0,10.9,1997,10,6,Sunday,S09E04,8.0 - 8.9
The Cartridge Family,9,5,183,1997-11-02,8.2,1081.0,10.3,1997,11,6,Sunday,S09E05,8.0 - 8.9
Bart Star,9,6,184,1997-11-09,7.7,925.0,10.6,1997,11,6,Sunday,S09E06,7.0 - 7.9
The Two Mrs. Nahasapeemapetilons,9,7,185,1997-11-16,7.7,905.0,11.4,1997,11,6,Sunday,S09E07,7.0 - 7.9
Lisa the Skeptic,9,8,186,1997-11-23,8.0,978.0,9.3,1997,11,6,Sunday,S09E08,8.0 - 8.9
Realty Bites,9,9,187,1997-12-07,7.5,888.0,10.6,1997,12,6,Sunday,S09E09,7.0 - 7.9
Miracle on Evergreen Terrace,9,10,188,1997-12-21,7.6,958.0,9.6,1997,12,6,Sunday,S09E10,7.0 - 7.9
"All Singing, All Dancing",9,11,189,1998-01-04,5.1,1119.0,8.9,1998,1,6,Sunday,S09E11,5.0 - 5.9
Bart Carny,9,12,190,1998-01-11,7.7,938.0,11.7,1998,1,6,Sunday,S09E12,7.0 - 7.9
The Joy of Sect,9,13,191,1998-02-08,8.2,1042.0,9.4,1998,2,6,Sunday,S09E13,8.0 - 8.9
Das Bus,9,14,192,1998-02-15,8.1,1036.0,9.6,1998,2,6,Sunday,S09E14,8.0 - 8.9
The Last Temptation of Krust,9,15,193,1998-02-22,7.5,878.0,9.5,1998,2,6,Sunday,S09E15,7.0 - 7.9
Dumbbell Indemnity,9,16,194,1998-03-01,7.6,887.0,10.3,1998,3,6,Sunday,S09E16,7.0 - 7.9
Lisa the Simpson,9,17,195,1998-03-08,8.0,957.0,10.4,1998,3,6,Sunday,S09E17,8.0 - 8.9
This Little Wiggy,9,18,196,1998-03-22,7.8,906.0,8.9,1998,3,6,Sunday,S09E18,7.0 - 7.9
Simpson Tide,9,19,197,1998-03-29,8.3,1026.0,9.0,1998,3,6,Sunday,S09E19,8.0 - 8.9
The Trouble with Trillions,9,20,198,1998-04-05,7.9,949.0,7.4,1998,4,6,Sunday,S09E20,7.0 - 7.9
Girly Edition,9,21,199,1998-04-19,7.9,905.0,8.5,1998,4,6,Sunday,S09E21,7.0 - 7.9
Trash of the Titans,9,22,200,1998-04-26,8.5,1108.0,10.2,1998,4,6,Sunday,S09E22,8.0 - 8.9
King of the Hill,9,23,201,1998-05-03,8.3,962.0,9.2,1998,5,6,Sunday,S09E23,8.0 - 8.9
Lost Our Lisa,9,24,202,1998-05-10,7.7,880.0,7.6,1998,5,6,Sunday,S09E24,7.0 - 7.9
Natural Born Kissers,9,25,203,1998-05-17,8.1,931.0,8.6,1998,5,6,Sunday,S09E25,8.0 - 8.9
Lard of the Dance,10,1,204,1998-08-23,7.6,932.0,7.0,1998,8,6,Sunday,S10E01,7.0 - 7.9
The Wizard of Evergreen Terrace,10,2,205,1998-09-20,8.2,988.0,7.95,1998,9,6,Sunday,S10E02,8.0 - 8.9
Bart the Mother,10,3,206,1998-09-27,7.5,899.0,7.35,1998,9,6,Sunday,S10E03,7.0 - 7.9
Treehouse of Horror IX,10,4,207,1998-10-25,8.0,1013.0,8.5,1998,10,6,Sunday,S10E04,8.0 - 8.9
When You Dish Upon a Star,10,5,208,1998-11-08,7.3,934.0,9.0,1998,11,6,Sunday,S10E05,7.0 - 7.9
D'oh-in' in the Wind,10,6,209,1998-11-15,7.6,901.0,8.3,1998,11,6,Sunday,S10E06,7.0 - 7.9
"Lisa Gets an ""A""",10,7,210,1998-11-22,8.0,909.0,8.0,1998,11,6,Sunday,S10E07,8.0 - 8.9
"Homer Simpson in: ""Kidney Trouble""",10,8,211,1998-12-06,7.3,863.0,7.2,1998,12,6,Sunday,S10E08,7.0 - 7.9
Mayored to the Mob,10,9,212,1998-12-20,8.2,975.0,8.5,1998,12,6,Sunday,S10E09,8.0 - 8.9
Viva Ned Flanders,10,10,213,1999-01-10,7.8,928.0,11.5,1999,1,6,Sunday,S10E10,7.0 - 7.9
Wild Barts Can't Be Broken,10,11,214,1999-01-17,7.7,834.0,8.8,1999,1,6,Sunday,S10E11,7.0 - 7.9
"Sunday, Cruddy Sunday",10,12,215,1999-01-31,6.9,880.0,11.5,1999,1,6,Sunday,S10E12,6.0 - 6.9
Homer to the Max,10,13,216,1999-02-07,7.7,882.0,8.3,1999,2,6,Sunday,S10E13,7.0 - 7.9
